click des,fill correct,fill incorrect,liberary related,liberary unrelated,click restart,strategy_no,strategy_yes
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999
0.000,0.167,0.000,0.417,0.333,0.000,0.083,0.000
0.080,0.080,0.360,0.000,0.080,0.040,0.360,0.000
