1_liberary_count,1_liberary_related_count,1_liberary_unrelated_count,1_click_des_count,1_control_variable,1_strategy_count,1_click_restart_count,1_click_determine_count,1_related_time,1_unrelated_time,1_launch_action_diff,1_first_des_time,1_score,2_liberary_count,2_liberary_related_count,2_liberary_unrelated_count,2_click_des_count,2_control_variable,2_strategy_count,2_click_restart_count,2_click_determine_count,2_related_time,2_unrelated_time,2_launch_action_diff,2_first_des_time,2_score,3_liberary_count,3_liberary_related_count,3_liberary_unrelated_count,3_click_des_count,3_control_variable,3_strategy_count,3_click_restart_count,3_click_determine_count,3_related_time,3_unrelated_time,3_launch_action_diff,3_first_des_time,3_score,4_liberary_count,4_liberary_related_count,4_liberary_unrelated_count,4_click_des_count,4_control_variable,4_strategy_count,4_click_restart_count,4_click_determine_count,4_related_time,4_unrelated_time,4_launch_action_diff,4_first_des_time,4_score,5_liberary_count,5_liberary_related_count,5_liberary_unrelated_count,5_click_des_count,5_control_variable,5_strategy_count,5_click_restart_count,5_click_determine_count,5_related_time,5_unrelated_time,5_launch_action_diff,5_first_des_time,5_score,6_liberary_count,6_liberary_related_count,6_liberary_unrelated_count,6_click_des_count,6_control_variable,6_strategy_count,6_click_restart_count,6_click_determine_count,6_related_time,6_unrelated_time,6_launch_action_diff,6_first_des_time,6_score,name
4,2,2,0,0,0,0,10,19,19,44,29,40,1,0,1,0,6,0,0,25,0,7,27,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,0,28,32,25,60,3,1,2,0,0,0,0,9,22,51,55,19,20,109062571
2,1,1,0,0,5,3,26,3,7,42,21,0,1,0,1,0,9,0,3,34,0,3,12,7,0,0,0,0,0,0,0,0,0,0,0,62,6,100,0,0,0,0,0,6,2,31,0,0,9,4,0,0,0,0,1,0,0,0,11,0,0,32,2,0,2,0,2,1,0,0,0,37,0,28,21,11,20,110160768
2,1,1,0,0,0,0,4,6,6,47,9,0,1,1,0,0,0,0,4,10,29,0,19,8,0,1,0,1,0,0,0,2,0,0,5,34,8,0,2,0,2,0,0,2,4,20,0,34,8,3,0,1,0,1,0,0,0,0,18,0,1,15,4,60,0,0,0,0,0,0,0,23,0,0,10,5,20,110160787
1,1,0,0,0,0,0,10,6,0,14,8,40,3,1,2,1,2,0,1,22,7,8,10,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,1,32,0,7,12,141,0,1,0,1,2,0,0,0,9,0,16,9,1,20,110160807
0,0,0,0,0,0,0,6,0,0,21,15,10,0,0,0,1,0,0,0,3,0,0,21,7,0,1,1,0,0,0,0,0,0,33,0,42,19,100,2,0,2,0,0,0,0,5,0,25,18,14,0,0,0,0,0,0,0,0,6,0,0,26,13,60,1,0,1,0,0,0,0,6,0,9,23,8,40,110160777
0,0,0,0,0,0,0,9,0,0,47,16,40,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,13,0,34,8,100,1,0,1,0,0,0,0,7,0,9,28,21,0,0,0,0,0,0,3,2,21,0,0,18,12,60,1,0,1,0,0,0,0,4,0,3,2,0,40,110164539
2,1,1,0,0,0,2,2,11,2,61,21,0,2,0,2,2,0,0,1,6,0,2,98,27,0,4,1,3,1,0,0,4,0,4,5,60,13,60,4,0,4,0,0,0,2,18,0,9,6,3,0,1,0,1,0,0,0,0,25,0,5,8,4,60,2,0,2,0,0,0,0,22,0,6,10,195,0,110269937
1,1,0,0,0,0,3,5,4,0,25,3,0,1,0,1,0,0,0,1,0,0,7,73,3,0,2,2,0,0,0,0,7,0,9,0,48,9,0,0,0,0,0,0,0,2,4,0,0,4,3,0,0,0,0,0,0,6,2,29,0,0,17,2,60,0,0,0,0,0,0,0,7,0,0,19,2,40,110160714
1,1,0,0,0,2,3,12,8,0,17,9,70,3,0,3,0,0,0,0,7,0,9,23,6,0,3,2,1,3,0,0,1,0,6,3,21,15,100,0,0,0,0,0,1,1,11,0,0,16,13,100,2,0,2,1,0,3,1,20,0,11,20,13,60,2,1,1,1,0,5,2,21,3,2,32,17,20,110307484
2,1,1,0,0,0,0,7,5,2,24,5,40,4,1,3,0,0,0,0,5,4,10,43,5,0,0,0,0,0,0,0,0,0,0,0,22,5,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,22,0,0,9,5,60,0,0,0,0,0,0,0,0,0,0,0,0,40,110160817
1,1,0,0,0,0,0,5,8,0,37,20,40,1,1,0,1,0,0,0,5,28,0,13,9,80,0,0,0,0,0,0,0,0,0,0,20,8,100,0,0,0,0,0,0,0,7,0,0,18,16,0,0,0,0,1,0,0,0,14,0,0,23,13,60,0,0,0,1,0,0,0,19,0,0,27,18,40,1335454624
3,2,1,0,0,2,5,13,35,15,99,46,0,4,2,2,0,4,0,5,12,10,21,132,13,0,3,0,3,1,0,0,6,0,0,9,52,13,80,2,0,2,1,0,4,2,17,0,3,31,16,0,0,0,0,1,0,4,1,27,0,0,13,1,60,1,0,1,1,0,0,0,34,0,7,17,2,40,110160769
