,sum_score,click_des_count,liberary_related_count,liberary_unrelated_count,strategy_count,click_restart_count,click_determine_count,related_time,unrelated_time,launch_action_diff,first_des_time,related_time_rate,related_count_rate,strage_rate
0,60.0,1,2,5,0,3,27,57.0,49.0,77.0,190.0,0.5377358490566038,0.2857142857142857,0.0
1,60.0,0,1,2,6,5,29,18.0,28.0,63.0,5.0,0.391304347826087,0.3333333333333333,0.20689655172413793
2,0.0,0,2,7,10,12,135,9.0,20.0,65.0,42.0,0.3103448275862069,0.2222222222222222,0.07407407407407407
3,85.0,1,2,2,0,1,56,33.0,17.0,103.0,46.0,0.66,0.5,0.0
4,25.0,0,5,7,0,0,44,33.0,82.0,231.0,64.0,0.28695652173913044,0.4166666666666667,0.0
5,72.5,2,3,8,11,0,69,23.0,25.0,297.0,83.0,0.4791666666666667,0.2727272727272727,0.15942028985507245
6,75.0,0,2,2,0,0,32,8.0,29.0,85.0,22.0,0.21621621621621623,0.5,0.0
7,60.0,1,10,10,0,1,50,63.0,103.0,236.0,43.0,0.3795180722891566,0.5,0.0
8,67.5,0,0,1,2,1,30,0.0,4.0,98.0,49.0,0.0,0.0,0.06666666666666667
9,25.0,0,0,0,0,1,33,0.0,0.0,110.0,45.0,0.0,0.0,0.0
10,85.0,0,6,9,16,7,85,36.0,31.0,103.0,30.0,0.5373134328358209,0.4,0.18823529411764706
11,12.5,2,1,4,14,7,108,3.0,38.0,107.0,41.0,0.07317073170731707,0.2,0.12962962962962962
12,47.5,4,2,4,6,4,73,13.0,31.0,45.0,156.0,0.29545454545454547,0.3333333333333333,0.0821917808219178
13,52.5,1,0,1,0,0,21,0.0,9.0,91.0,43.0,0.0,0.0,0.0
14,60.0,0,0,1,3,2,34,0.0,3.0,68.0,28.0,0.0,0.0,0.08823529411764706
15,25.0,2,1,6,0,3,55,11.0,15.0,177.0,247.0,0.4230769230769231,0.14285714285714285,0.0
16,60.0,0,2,4,0,0,34,9.0,12.0,76.0,15.0,0.42857142857142855,0.3333333333333333,0.0
17,80.0,3,2,0,0,1,43,36.0,0.0,100.0,60.0,1.0,1.0,0.0
18,50.0,2,4,4,10,12,86,45.0,43.0,261.0,62.0,0.5113636363636364,0.5,0.11627906976744186
19,67.5,0,1,2,0,0,31,0.0,16.0,153.0,49.0,0.0,0.3333333333333333,0.0
20,60.0,2,2,1,9,0,64,23.0,15.0,130.0,62.0,0.6052631578947368,0.6666666666666666,0.140625
21,87.5,0,5,4,13,1,78,40.0,28.0,58.0,41.0,0.5882352941176471,0.5555555555555556,0.16666666666666666
22,35.0,0,3,6,7,6,66,67.0,45.0,184.0,27.0,0.5982142857142857,0.3333333333333333,0.10606060606060606
23,85.0,2,0,1,3,2,43,0.0,9.0,81.0,22.0,0.0,0.0,0.06976744186046512
24,92.5,0,2,3,5,4,55,16.0,31.0,114.0,11.0,0.3404255319148936,0.4,0.09090909090909091
25,72.5,3,5,6,1,1,28,39.0,59.0,109.0,54.0,0.3979591836734694,0.45454545454545453,0.03571428571428571
26,85.0,1,0,0,4,6,34,0.0,0.0,71.0,29.0,0.0,0.0,0.11764705882352941
27,80.0,0,4,6,1,0,49,24.0,21.0,179.0,33.0,0.5333333333333333,0.4,0.02040816326530612
28,85.0,0,0,0,0,1,41,0.0,0.0,131.0,60.0,0.0,0.0,0.0
29,37.5,0,2,10,1,5,80,12.0,106.0,240.0,50.0,0.1016949152542373,0.16666666666666666,0.0125
30,80.0,2,4,1,12,5,116,30.0,1.0,221.0,81.0,0.967741935483871,0.8,0.10344827586206896
31,50.0,2,0,2,0,1,19,0.0,45.0,258.0,22.0,0.0,0.0,0.0
32,57.5,0,3,2,0,3,21,14.0,13.0,130.0,42.0,0.5185185185185185,0.6,0.0
33,72.5,0,6,7,4,7,56,30.0,80.0,184.0,62.0,0.2727272727272727,0.46153846153846156,0.07142857142857142
34,80.0,0,0,0,2,0,22,0.0,0.0,109.0,63.0,0.0,0.0,0.09090909090909091
35,60.0,3,3,6,7,3,69,18.0,49.0,137.0,73.0,0.26865671641791045,0.3333333333333333,0.10144927536231885
36,50.0,1,4,5,4,1,63,32.0,35.0,94.0,38.0,0.47761194029850745,0.4444444444444444,0.06349206349206349
37,72.5,2,9,5,9,4,97,88.0,28.0,82.0,44.0,0.7586206896551724,0.6428571428571429,0.09278350515463918
38,27.5,3,2,4,4,5,45,19.0,32.0,118.0,36.0,0.37254901960784315,0.3333333333333333,0.08888888888888889
39,80.0,0,2,1,12,2,146,19.0,9.0,90.0,66.0,0.6785714285714286,0.6666666666666666,0.0821917808219178
40,85.0,0,0,1,3,0,44,0.0,6.0,75.0,24.0,0.0,0.0,0.06818181818181818
41,10.0,0,1,1,10,5,94,14.0,8.0,80.0,50.0,0.6363636363636364,0.5,0.10638297872340426
42,37.5,0,1,1,1,0,29,13.0,4.0,134.0,34.0,0.7647058823529411,0.5,0.034482758620689655
43,30.0,0,2,3,1,0,39,16.0,25.0,144.0,55.0,0.3902439024390244,0.4,0.02564102564102564
